from,to,weight
CDA,ChristenUnie,4
CDA,D66,3
CDA,PvdA,1
CDA,VVD,6
ChristenUnie,D66,2
ChristenUnie,PvdA,1
ChristenUnie,VVD,2
D66,VVD,4
PvdA,VVD,2
D66,PvdA,1
