"from","to","weight","agreement_rate","total_votes","width","color"
"DENK","Volt",449,0.766211604095563,586,2.29471890971039,"#808080D9"
"FVD","Volt",239,0.407155025553663,587,1.22146507666099,"#80808014"
"Volt","Fractie Den Haan",463,0.788756388415673,587,2.36626916524702,"#808080D9"
"Ephraim","Volt",1,0.00170357751277683,587,0.5,"#80808014"
"Volt","CDA",371,0.632027257240204,587,1.89608177172061,"#80808014"
"Volt","BIJ1",473,0.811320754716981,583,2.41737649063032,"#808080D9"
"GroenLinks","SP",497,0.846678023850085,587,2.54003407155026,"#808080D9"
"DENK","SP",476,0.813675213675214,585,2.43270868824531,"#808080D9"
"FVD","SP",275,0.469283276450512,586,1.40545144804089,"#80808014"
"Fractie Den Haan","SP",434,0.74061433447099,586,2.21805792163543,"#808080D9"
"Ephraim","SP",1,0.00170648464163823,586,0.5,"#80808014"
"CDA","SP",314,0.535836177474403,586,1.60477001703578,"#80808014"
"BIJ1","SP",477,0.819587628865979,582,2.43781942078365,"#808080D9"
"DENK","GroenLinks",463,0.787414965986395,588,2.36626916524702,"#808080D9"
"FVD","GroenLinks",237,0.402376910016978,589,1.21124361158433,"#80808014"
"Fractie Den Haan","GroenLinks",462,0.785714285714286,588,2.36115843270869,"#808080D9"
"Ephraim","GroenLinks",2,0.00340136054421769,588,0.5,"#80808014"
"CDA","GroenLinks",344,0.585034013605442,588,1.75809199318569,"#80808014"
"BIJ1","GroenLinks",484,0.828767123287671,584,2.47359454855196,"#808080D9"
"FVD","DENK",322,0.54855195911414,587,1.64565587734242,"#80808014"
"DENK","Fractie Den Haan",435,0.742320819112628,586,2.22316865417377,"#808080D9"
"DENK","Ephraim",2,0.00341296928327645,586,0.5,"#80808014"
"DENK","CDA",355,0.60580204778157,586,1.81431005110733,"#80808014"
"DENK","BIJ1",437,0.75085910652921,582,2.23339011925043,"#808080D9"
"FVD","Fractie Den Haan",255,0.434412265758092,587,1.30323679727428,"#80808014"
"FVD","Ephraim",1,0.00170357751277683,587,0.5,"#80808014"
"FVD","CDA",337,0.574105621805792,587,1.72231686541738,"#80808014"
"FVD","BIJ1",254,0.435677530017153,583,1.29812606473595,"#80808014"
"Ephraim","Fractie Den Haan",1,0.00170357751277683,587,0.5,"#80808014"
"Fractie Den Haan","CDA",383,0.652470187393526,587,1.95741056218058,"#80808014"
"Fractie Den Haan","BIJ1",417,0.715265866209262,583,2.13117546848382,"#80808014"
"Ephraim","CDA",1,0.00170357751277683,587,0.5,"#80808014"
"Ephraim","BIJ1",22,0.0377358490566038,583,0.5,"#80808014"
"BIJ1","CDA",290,0.497427101200686,583,1.48211243611584,"#80808014"
