"from","to","weight","agreements","total_votes","width","color"
"ChristenUnie","PvdA",0.713915857605178,1103,1545,2.14729973761869,"#80808014"
"ChristenUnie","PvdD",0.650680492546986,1004,1543,1.95710185736265,"#80808014"
"ChristenUnie","SGP",0.728978007761966,1127,1546,2.1926033272996,"#80808014"
"ChristenUnie","SP",0.664941785252264,1028,1546,1.99999664637444,"#80808014"
"ChristenUnie","VVD",0.758888170652877,1174,1547,2.28256642903435,"#808080D9"
"ChristenUnie","Volt",0.739779364049319,1140,1541,2.22509139893253,"#808080D9"
"D66","DENK",0.637886597938144,990,1552,1.9186206746798,"#80808014"
"D66","Ephraim",0.108597285067873,120,1105,0.5,"#80808014"
"D66","FVD",0.403858520900322,628,1555,1.2147163937125,"#80808014"
"D66","Fractie Den Haan",0.65979381443299,1024,1552,1.98451269785062,"#80808014"
"D66","G<U+00FC>ndogan",0.531612903225806,824,1550,1.59897309388916,"#80808014"
"D66","GroenLinks",0.746623794212219,1161,1555,2.24567791894939,"#808080D9"
"D66","Groep Van Haga",0.458226221079692,713,1556,1.37824231499083,"#80808014"
"D66","JA21",0.482892188508715,748,1549,1.45243204592932,"#80808014"
"D66","Omtzigt",0.645577792123951,1000,1549,1.94175407209803,"#80808014"
"D66","PVV",0.445302445302445,692,1554,1.33937047870943,"#80808014"
"D66","PvdA",0.746778350515464,1159,1552,2.24614278985241,"#808080D9"
"D66","PvdD",0.667739858338699,1037,1553,2.00841262640953,"#80808014"
"D66","SGP",0.645659163987138,1004,1555,1.94199882052126,"#80808014"
"D66","SP",0.651222651222651,1012,1554,1.95873254978893,"#80808014"
"D66","VVD",0.75706940874036,1178,1556,2.2770959986805,"#808080D9"
"D66","Volt",0.775839793281654,1201,1548,2.33355313066763,"#808080D9"
"DENK","Ephraim",0.122040072859745,134,1098,0.5,"#80808014"
"FVD","DENK",0.492884864165589,762,1546,1.4824877865149,"#80808014"
"DENK","Fractie Den Haan",0.732512953367876,1131,1544,2.2032356555932,"#808080D9"
"G<U+00FC>ndogan","DENK",0.474059662775616,731,1542,1.42586577766794,"#80808014"
"DENK","GroenLinks",0.800776196636481,1238,1546,2.40855627257933,"#808080D9"
"DENK","Groep Van Haga",0.555268261150614,859,1547,1.6701231367466,"#80808014"
"DENK","JA21",0.527579493835172,813,1541,1.58684149765978,"#80808014"
"Omtzigt","DENK",0.654769630110318,1009,1541,1.96940107151133,"#80808014"
"DENK","PVV",0.583171521035599,901,1545,1.75404992166313,"#80808014"
"DENK","PvdA",0.801685029163966,1237,1543,2.41128983820477,"#808080D9"
"DENK","PvdD",0.780298120544394,1204,1543,2.34696278512413,"#808080D9"
"DENK","SGP",0.623948220064725,964,1545,1.87669714149085,"#80808014"
"DENK","SP",0.822538860103627,1270,1544,2.47401351246982,"#808080D9"
"DENK","VVD",0.54945054945055,850,1547,1.65262475696695,"#80808014"
"DENK","Volt",0.788311688311688,1214,1540,2.37106581040476,"#808080D9"
"FVD","Ephraim",0.194545454545455,214,1100,0.585149354857715,"#80808014"
"Fractie Den Haan","Ephraim",0.0709736123748863,78,1099,0.5,"#80808014"
"G<U+00FC>ndogan","Ephraim",0.389799635701275,428,1098,1.17243040135426,"#80808014"
"GroenLinks","Ephraim",0.089171974522293,98,1099,0.5,"#80808014"
"Ephraim","Groep Van Haga",0.206896551724138,228,1102,0.622298701588933,"#80808014"
"JA21","Ephraim",0.208751139471285,229,1097,0.627876888066257,"#80808014"
"Omtzigt","Ephraim",0.250683682771194,275,1097,0.75400062977389,"#80808014"
"Ephraim","PVV",0.177434030937216,195,1099,0.533682007504613,"#80808014"
"PvdA","Ephraim",0.0883424408014572,97,1098,0.5,"#80808014"
"PvdD","Ephraim",0.0873521383075523,96,1099,0.5,"#80808014"
"Ephraim","SGP",0.184713375796178,203,1099,0.555576653966341,"#80808014"
"SP","Ephraim",0.105550500454959,116,1099,0.5,"#80808014"
"Ephraim","VVD",0.159090909090909,175,1100,0.5,"#80808014"
"Volt","Ephraim",0.097538742023701,107,1097,0.5,"#80808014"
"FVD","Fractie Den Haan",0.376212023270847,582,1547,1.13156189241737,"#80808014"
"FVD","G<U+00FC>ndogan",0.241423948220065,373,1545,0.726149412630797,"#80808014"
"FVD","GroenLinks",0.372739018087855,577,1548,1.12111586710676,"#80808014"
"FVD","Groep Van Haga",0.838064516129032,1299,1550,2.52071122446846,"#808080D9"
"FVD","JA21",0.756476683937824,1168,1544,2.27531321461791,"#808080D9"
"Omtzigt","FVD",0.520077720207254,803,1544,1.56427783504982,"#80808014"
"FVD","PVV",0.765998707175178,1185,1547,2.30395333765392,"#808080D9"
"FVD","PvdA",0.372574385510996,576,1546,1.12062068901914,"#80808014"
"FVD","PvdD",0.390685640362225,604,1546,1.17509530584646,"#80808014"
"FVD","SGP",0.610071013557134,945,1549,1.83495759813264,"#80808014"
"FVD","SP",0.446382428940568,691,1548,1.34261882871885,"#80808014"
"FVD","VVD",0.528082633957392,818,1549,1.58835483097619,"#80808014"
"FVD","Volt",0.37848347375243,584,1543,1.13839390906353,"#80808014"
"G<U+00FC>ndogan","Fractie Den Haan",0.599093264248705,925,1544,1.80193897561778,"#80808014"
"Fractie Den Haan","GroenLinks",0.752910737386805,1164,1546,2.26458764239285,"#808080D9"
"Fractie Den Haan","Groep Van Haga",0.43180349062702,668,1547,1.29876863253402,"#80808014"
"JA21","Fractie Den Haan",0.465327284510693,718,1543,1.39960073066373,"#80808014"
"Omtzigt","Fractie Den Haan",0.581335061568373,897,1543,1.74852626101025,"#80808014"
"Fractie Den Haan","PVV",0.459546925566343,710,1545,1.38221469964575,"#80808014"
"Fractie Den Haan","PvdA",0.754045307443366,1165,1545,2.2680001761793,"#808080D9"
"Fractie Den Haan","PvdD",0.714193130265716,1102,1543,2.14813371196577,"#80808014"
"Fractie Den Haan","SGP",0.57503234152652,889,1546,1.72956908426739,"#80808014"
"Fractie Den Haan","SP",0.707632600258732,1094,1546,2.12840110032455,"#80808014"
