from,to,weight
DENK,GroenLinks-PvdA,4034
GroenLinks-PvdA,PvdD,4350
CDA,GroenLinks-PvdA,3211
GroenLinks-PvdA,PVV,1940
GroenLinks-PvdA,VVD,2593
GroenLinks-PvdA,SGP,2824
GroenLinks-PvdA,NSC,3070
GroenLinks-PvdA,SP,4275
D66,GroenLinks-PvdA,4209
ChristenUnie,GroenLinks-PvdA,3806
GroenLinks-PvdA,Volt,4473
GroenLinks-PvdA,JA21,2358
FVD,GroenLinks-PvdA,2095
BBB,GroenLinks-PvdA,2436
DENK,PvdD,4011
CDA,DENK,2966
DENK,PVV,2072
DENK,VVD,2408
DENK,SGP,2767
DENK,NSC,2899
DENK,SP,4122
D66,DENK,3666
ChristenUnie,DENK,3503
DENK,Volt,3944
DENK,JA21,2370
DENK,FVD,2507
BBB,DENK,2437
CDA,PvdD,2794
PVV,PvdD,1759
PvdD,VVD,2180
PvdD,SGP,2455
NSC,PvdD,2697
PvdD,SP,4332
D66,PvdD,3718
ChristenUnie,PvdD,3391
PvdD,Volt,4096
JA21,PvdD,2039
FVD,PvdD,2026
BBB,PvdD,2107
CDA,PVV,2968
CDA,VVD,3869
CDA,SGP,3812
CDA,NSC,3978
CDA,SP,2957
CDA,D66,3671
CDA,ChristenUnie,3908
CDA,Volt,3365
CDA,JA21,3268
CDA,FVD,2621
BBB,CDA,3654
PVV,VVD,3560
PVV,SGP,3296
NSC,PVV,3277
PVV,SP,2008
D66,PVV,2248
ChristenUnie,PVV,2653
PVV,Volt,1988
JA21,PVV,3647
FVD,PVV,3345
BBB,PVV,3810
SGP,VVD,3710
NSC,VVD,4073
SP,VVD,2389
D66,VVD,3153
ChristenUnie,VVD,3344
VVD,Volt,2765
JA21,VVD,3560
FVD,VVD,2761
BBB,VVD,4092
NSC,SGP,3809
SGP,SP,2706
D66,SGP,3220
ChristenUnie,SGP,3749
SGP,Volt,2964
JA21,SGP,3618
FVD,SGP,3056
BBB,SGP,3847
NSC,SP,2930
D66,NSC,3478
ChristenUnie,NSC,3760
NSC,Volt,3202
JA21,NSC,3349
FVD,NSC,2764
BBB,NSC,3923
D66,SP,3751
ChristenUnie,SP,3578
SP,Volt,3993
JA21,SP,2340
FVD,SP,2347
BBB,SP,2400
ChristenUnie,D66,3950
D66,Volt,4399
D66,JA21,2714
D66,FVD,2187
BBB,D66,2902
ChristenUnie,Volt,3888
ChristenUnie,JA21,3086
ChristenUnie,FVD,2570
BBB,ChristenUnie,3287
JA21,Volt,2492
FVD,Volt,2109
BBB,Volt,2558
FVD,JA21,3302
BBB,JA21,3799
BBB,FVD,3156
NSC,NSC,0
VVD,VVD,0
PVV,PVV,0
