"from","to","weight","agreement_rate","total_votes","width","color"
"GroenLinks-PvdA","SGP",22,0.468085106382979,47,1.3469387755102,"#80808014"
"GroenLinks-PvdA","PVV",21,0.538461538461538,39,1.28571428571429,"#80808014"
"GroenLinks-PvdA","VVD",20,0.384615384615385,52,1.22448979591837,"#80808014"
"NSC","SGP",33,0.825,40,2.02040816326531,"#808080D9"
"SP","NSC",24,0.558139534883721,43,1.46938775510204,"#80808014"
"PvdD","NSC",22,0.458333333333333,48,1.3469387755102,"#80808014"
"VVD","SGP",32,0.64,50,1.95918367346939,"#808080D9"
"PvdD","SGP",18,0.418604651162791,43,1.10204081632653,"#80808014"
"Volt","SGP",21,0.477272727272727,44,1.28571428571429,"#80808014"
"PvdD","FVD",7,0.184210526315789,38,0.5,"#80808014"
"VVD","SP",17,0.414634146341463,41,1.04081632653061,"#80808014"
"SP","Volt",29,0.90625,32,1.77551020408163,"#80808014"
"PvdD","PVV",18,0.409090909090909,44,1.10204081632653,"#80808014"
"VVD","PvdD",16,0.363636363636364,44,0.979591836734694,"#80808014"
"PvdD","Volt",35,0.833333333333333,42,2.14285714285714,"#808080D9"
"VVD","ChristenUnie",32,0.727272727272727,44,1.95918367346939,"#808080D9"
"ChristenUnie","NSC",29,0.743589743589744,39,1.77551020408163,"#80808014"
"ChristenUnie","Volt",28,0.777777777777778,36,1.71428571428571,"#80808014"
"JA21","PvdD",11,0.323529411764706,34,0.673469387755102,"#80808014"
