"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"DENK","Volt",1.17773314150986,2721,0.82504548211037,3298,1.17773314150986,2.08886657075493,"#4D4D4DCC"
"DENK","SGP",0.476299050225171,2154,0.649969824984913,3314,0.476299050225171,1.73814952511259,"#80808026"
"DENK","FVD",-0.16080598859602,1639,0.494717778448536,3313,-0.16080598859602,1.41959700570199,"#80808026"
"DENK","PVV",0.227642520510493,1953,0.587368421052632,3325,0.227642520510493,1.61382126025525,"#80808026"
"DENK","BIJ1",0.710110413986734,2343,0.712591240875912,3288,0.710110413986734,1.85505520699337,"#80808026"
"DENK","BBB",0.749697523195041,2375,0.719261053906723,3302,0.749697523195041,1.87484876159752,"#80808026"
"DENK","CDA",0.29568286446227,2008,0.604455147501505,3322,0.29568286446227,1.64784143223114,"#80808026"
"DENK","PvdA",1.21979444504369,2755,0.830820265379976,3316,1.21979444504369,2.10989722252184,"#4D4D4DCC"
"DENK","GroenLinks",1.21855734788093,2754,0.828270676691729,3325,1.21855734788093,2.10927867394046,"#4D4D4DCC"
"DENK","D66",0.505989382131401,2178,0.653857700390273,3331,0.505989382131401,1.7529946910657,"#80808026"
"DENK","VVD",0.160839273721475,1899,0.57095610342754,3326,0.160839273721475,1.58041963686074,"#80808026"
"DENK","G<U+00FC>ndogan",0.329084487856779,2035,0.616853591997575,3299,0.329084487856779,1.66454224392839,"#80808026"
"DENK","Omtzigt",0.477536147387931,2155,0.653624507127692,3297,0.477536147387931,1.73876807369397,"#80808026"
"DENK","JA21",0.0569231120496689,1815,0.549500454132607,3303,0.0569231120496689,1.52846155602483,"#80808026"
"DENK","Fractie Den Haan",1.01072502453732,2586,0.783161720169594,3302,1.01072502453732,2.00536251226866,"#4D4D4DCC"
"DENK","ChristenUnie",0.527020033898314,2195,0.662941709453337,3311,0.527020033898314,1.76351001694916,"#80808026"
"DENK","SP",1.19257830746298,2733,0.822944896115628,3321,1.19257830746298,2.09628915373149,"#4D4D4DCC"
"DENK","PvdD",1.11587828337188,2671,0.807192505288607,3309,1.11587828337188,2.05793914168594,"#4D4D4DCC"
"DENK","Groep Van Haga",0.0927989297696971,1844,0.557268056814748,3309,0.0927989297696971,1.54639946488485,"#80808026"
"Volt","SGP",0.397124831808557,2090,0.633333333333333,3300,0.397124831808557,1.69856241590428,"#80808026"
"Volt","FVD",-0.551728692028051,1323,0.400909090909091,3300,-0.551728692028051,1.22413565398597,"#80808026"
"PVV","Volt",-0.194207611990529,1612,0.487450861808285,3307,-0.194207611990529,1.40289619400474,"#80808026"
"Volt","BIJ1",0.801655604030944,2417,0.736890243902439,3280,0.801655604030944,1.90082780201547,"#80808026"
"BBB","Volt",0.413207094924432,2103,0.638821385176185,3292,0.413207094924432,1.70660354746222,"#80808026"
"CDA","Volt",0.382279665855442,2078,0.628554143980641,3306,0.382279665855442,1.69113983292772,"#80808026"
"PvdA","Volt",1.62308812010331,3081,0.933353529233566,3301,1.62308812010331,2.31154406005166,"#4D4D4DCC"
"Volt","GroenLinks",1.6206139257778,3079,0.930773881499395,3308,1.6206139257778,2.3103069628889,"#4D4D4DCC"
"D66","Volt",0.879592725284799,2480,0.748340374170187,3314,0.879592725284799,1.9397963626424,"#80808026"
"Volt","VVD",0.215271548882897,1943,0.587186461166516,3309,0.215271548882897,1.60763577444145,"#80808026"
"Volt","G<U+00FC>ndogan",0.575266823245939,2234,0.678821027043452,3291,0.575266823245939,1.78763341162297,"#80808026"
"Omtzigt","Volt",0.461453884272056,2142,0.651261781696564,3289,0.461453884272056,1.73072694213603,"#80808026"
"Volt","JA21",-0.231320526873316,1582,0.48041299726693,3293,-0.231320526873316,1.38433973656334,"#80808026"
"Fractie Den Haan","Volt",1.09237343727945,2652,0.805100182149363,3294,1.09237343727945,2.04618671863972,"#4D4D4DCC"
"Volt","ChristenUnie",0.712584608312253,2345,0.711468446601942,3296,0.712584608312253,1.85629230415613,"#80808026"
"Volt","SP",1.16165087839399,2708,0.819116757410768,3306,1.16165087839399,2.08082543919699,"#4D4D4DCC"
"PvdD","Volt",1.31628802373894,2833,0.859787556904401,3295,1.31628802373894,2.15814401186947,"#4D4D4DCC"
"Volt","Groep Van Haga",-0.293175385011296,1532,0.464664846830452,3297,-0.293175385011296,1.35341230749435,"#80808026"
"FVD","SGP",0.272178018369838,1989,0.599819059107358,3316,0.272178018369838,1.63608900918492,"#80808026"
"PVV","SGP",0.493618410503805,2168,0.651638112413586,3327,0.493618410503805,1.7468092052519,"#80808026"
"BIJ1","SGP",-0.186785029013971,1618,0.491793313069909,3290,-0.186785029013971,1.40660748549301,"#80808026"
"BBB","SGP",0.922891125981384,2515,0.761429003935816,3303,0.922891125981384,1.96144556299069,"#80808026"
"CDA","SGP",0.883304016773077,2483,0.746766917293233,3325,0.883304016773077,1.94165200838654,"#80808026"
"PvdA","SGP",0.348878042460933,2051,0.618143459915612,3318,0.348878042460933,1.67443902123047,"#80808026"
"GroenLinks","SGP",0.35630062543749,2057,0.618088942307692,3328,0.35630062543749,1.67815031271875,"#80808026"
"D66","SGP",0.551761977153506,2215,0.664167916041979,3335,0.551761977153506,1.77588098857675,"#80808026"
"VVD","SGP",0.770728174961954,2392,0.718534094322619,3329,0.770728174961954,1.88536408748098,"#80808026"
"G<U+00FC>ndogan","SGP",-0.0383333694828198,1738,0.526507119054832,3301,-0.0383333694828198,1.48083331525859,"#80808026"
"Omtzigt","SGP",0.6927910537081,2329,0.705971506517126,3299,0.6927910537081,1.84639552685405,"#80808026"
"JA21","SGP",0.716295899800532,2348,0.710868907054193,3303,0.716295899800532,1.85814794990027,"#80808026"
"Fractie Den Haan","SGP",0.324136099205741,2031,0.614709443099274,3304,0.324136099205741,1.66206804960287,"#80808026"
"ChristenUnie","SGP",0.832583033099934,2442,0.736873868436934,3314,0.832583033099934,1.91629151654997,"#80808026"
"SP","SGP",0.322899002042981,2030,0.610526315789474,3325,0.322899002042981,1.66144950102149,"#80808026"
"PvdD","SGP",0.189292508464945,1922,0.579788838612368,3315,0.189292508464945,1.59464625423247,"#80808026"
