"Period","Nodes","Edges","Density","Components","Mean_Degree","Mean_Edge_Weight","Median_Edge_Weight","SD_Edge_Weight"
"Pre-Election (1 month)",21,203,0.966666666666667,1,19.3333333333333,335.655172413793,360,127.055999621999
"Post-Formation (1 month)",15,58,0.552380952380952,2,7.73333333333333,3.5,3.5,1.85670902972238
