"Metric","Pre","Post","Change_Pre_to_Post","PctChange_Pre_to_Post"
"Nodes",21,15,-6,-28.5714285714286
"Edges",210,61,-149,-70.952380952381
"Density",1,0.580952380952381,-0.419047619047619,-41.9047619047619
"Mean Degree",20,8.13333333333333,-11.8666666666667,-59.3333333333333
"Transitivity",1,0.790654205607477,-0.209345794392523,-20.9345794392523
"Avg Path Length",14.6571428571429,NA,NA,NA
"Modularity",0.0495908400271594,0.138222233007353,0.0886313929801934,178.725330991878
"Components",1,2,1,100
