"Metric","Far","Close","Post","Change_Far_to_Close","Change_Close_to_Post","PctChange_Far_to_Close","PctChange_Close_to_Post"
"Nodes",23,22,15,-1,-7,-4.34782608695652,-31.8181818181818
"Edges",190,210,105,20,-105,10.5263157894737,-50
"Density",0.75098814229249,0.909090909090909,1,0.158102766798419,0.0909090909090909,21.0526315789474,10
"Mean Degree",16.5217391304348,19.0909090909091,14,2.56916996047431,-5.09090909090909,15.5502392344498,-26.6666666666667
"Transitivity",1,1,1,0,0,0,0
"Avg Path Length",NA,NA,0.611996965506894,NA,NA,NA,NA
"Modularity",0.0292700689112226,0.0476935874425175,0.0516772644921409,0.0184235185312949,0.00398367704962338,62.9432017641441,8.35264710255795
"Components",4,2,1,-2,-1,-50,-50
