"Period","Total_Edges","Strong_Edges_Z1","Very_Strong_Z2","Pct_Strong","Mean_Z","SD_Z"
"Pre",223,28,0,12.5560538116592,-2.58886086459678e-16,1
"Post",112,15,0,13.3928571428571,-2.85485920617897e-16,1
