"period","Total_Motions","Mean_Unanimity","Median_Unanimity","Pct_95_Unanimous","Pct_90_Unanimous","Pct_Balanced"
"Far from Election",1761,0.762014463378259,0.75,17.717206132879,26.2350936967632,23.3390119250426
"Close to Election",1548,0.738638908871284,0.722222222222222,13.1782945736434,21.7054263565891,26.6149870801034
"Post Formation",1952,0.773361146229974,0.75,26.2295081967213,26.7930327868852,23.0020491803279
